MAG,LOCAL DATETIME,LAT,LON,DEPTH
,y/m/d h:m:s,deg,deg,km
1.2,08/04/2022 02:41,35.315N,118.545W,4.23
3.3,08/04/2022 02:35,35.313N,118.536W,3.29
0.8,08/04/2022 02:33,34.304N,116.831W,8.03
2.2,08/04/2022 02:30,37.377N,120.013W,27.01
0.9,08/04/2022 02:13,38.832N,122.818W,1.71
1.6,08/04/2022 01:58,34.307N,117.008W,7.52
0.9,08/04/2022 01:50,38.825N,122.767W,2.03
0.2,08/04/2022 01:29,37.535N,118.882W,3.89
1,08/04/2022 01:13,37.410N,118.606W,4.45
1.1,08/04/2022 01:09,37.406N,118.605W,8.2
0.4,08/04/2022 00:55,35.899N,117.707W,2.83
1.4,08/04/2022 00:49,35.663N,117.564W,7.08
0.8,08/04/2022 00:47,35.615N,117.479W,8.42
1.6,08/04/2022 00:46,36.552N,121.146W,6.89
0.8,08/04/2022 00:44,39.591N,120.002W,7.3
1.1,08/04/2022 00:37,38.142N,117.985W,10.9
1.6,08/04/2022 00:34,38.148N,117.982W,10.5
-0.2,08/04/2022 00:09,36.740N,116.288W,8.2
0.7,07/04/2022 23:33,38.776N,122.877W,2.21
1.2,07/04/2022 23:28,33.192N,116.000W,7.94
2.4,07/04/2022 23:20,36.620N,119.248W,23.71
0.5,07/04/2022 23:00,37.533N,118.820W,4.8
0.2,07/04/2022 22:43,37.541N,118.880W,5.36
0.7,07/04/2022 22:14,38.812N,122.740W,2.12
1.5,07/04/2022 22:09,36.487N,120.898W,17.37
0.1,07/04/2022 21:49,38.785N,122.744W,1.75
0.2,07/04/2022 21:49,38.771N,122.752W,4.54
0.3,07/04/2022 21:48,38.803N,122.779W,2.62
1.9,07/04/2022 21:47,40.324N,122.094W,14.34
0.7,07/04/2022 21:35,37.609N,118.749W,2.73
1.3,07/04/2022 21:33,39.571N,119.072W,7.1
2.1,07/04/2022 21:22,36.665N,121.165W,11.36
2.3,07/04/2022 21:08,38.023N,118.737W,6.88
0.9,07/04/2022 20:51,35.611N,117.466W,10.11
0.1,07/04/2022 20:48,37.642N,119.043W,0.01
0.4,07/04/2022 20:38,38.811N,122.823W,2.05
0.6,07/04/2022 20:26,36.022N,117.804W,1.59
0.7,07/04/2022 20:17,38.781N,122.716W,1.96
1.7,07/04/2022 20:07,38.161N,117.946W,10.4
0.1,07/04/2022 19:58,36.024N,117.803W,0.95
0.3,07/04/2022 19:57,36.021N,117.803W,1.47
1.1,07/04/2022 19:51,38.161N,117.898W,11.2
0.9,07/04/2022 19:03,38.842N,122.775W,0.78
0.8,07/04/2022 18:40,37.545N,121.667W,6.79
0.5,07/04/2022 18:35,33.501N,116.692W,10.41
0.2,07/04/2022 18:35,35.687N,117.504W,8.78
0.9,07/04/2022 18:26,33.532N,116.557W,14.43
2.3,07/04/2022 18:07,36.082N,117.867W,1.69
0.9,07/04/2022 17:59,38.833N,122.819W,1.63
1.4,07/04/2022 17:58,34.322N,116.837W,4.68
1.3,07/04/2022 17:44,38.798N,122.749W,2.02
0.3,07/04/2022 16:56,38.792N,122.762W,1.08
1.3,07/04/2022 16:31,35.706N,117.505W,6.24
2,07/04/2022 16:25,35.587N,117.595W,4.53
1.7,07/04/2022 16:06,37.530N,119.378W,21.64
0.4,07/04/2022 16:04,38.804N,122.820W,3.25
1.4,07/04/2022 15:51,38.835N,122.788W,2.36
1.5,07/04/2022 15:40,38.189N,117.862W,9.8
0.5,07/04/2022 15:36,38.780N,122.767W,1.04
0.2,07/04/2022 15:21,38.789N,122.768W,1.39
1.8,07/04/2022 15:17,33.066N,115.005W,-0.2
0.4,07/04/2022 15:17,38.809N,122.823W,2.61
0.4,07/04/2022 14:50,38.835N,122.812W,1.8
2.2,07/04/2022 14:47,41.602N,120.259W,4.41
0.5,07/04/2022 14:07,36.605N,115.901W,0
0.9,07/04/2022 13:59,33.373N,116.864W,5.84
1.6,07/04/2022 13:23,37.490N,118.806W,6.27
0.3,07/04/2022 13:23,38.811N,122.802W,2.11
1.8,07/04/2022 13:11,34.063N,117.274W,12.37
0.7,07/04/2022 13:10,38.811N,122.772W,1.68
1.1,07/04/2022 13:00,32.826N,117.061W,-0.17
1.1,07/04/2022 12:58,36.555N,121.129W,8.59
1.5,07/04/2022 12:56,33.907N,117.516W,15.07
1.1,07/04/2022 12:26,32.926N,116.230W,9.64
1.3,07/04/2022 12:22,36.079N,117.866W,2.06
0.9,07/04/2022 12:19,38.837N,122.811W,1.88
0.9,07/04/2022 12:10,38.118N,118.945W,14.2
1.1,07/04/2022 12:03,33.555N,117.488W,-0.49
1.6,07/04/2022 11:45,37.530N,119.371W,22.7
1.2,07/04/2022 11:24,33.586N,116.807W,7.8
0.6,07/04/2022 11:18,35.942N,117.670W,5.76
0.3,07/04/2022 11:16,38.831N,122.803W,1.85
0.7,07/04/2022 11:03,33.587N,116.807W,8.01
0.1,07/04/2022 10:57,38.800N,122.749W,2.11
1.7,07/04/2022 10:57,39.620N,123.374W,8.66
0.3,07/04/2022 10:24,38.837N,122.803W,1.68
0.8,07/04/2022 10:20,38.821N,122.804W,3.06
1.4,07/04/2022 10:11,38.836N,122.799W,1.89
0,07/04/2022 10:01,39.233N,120.084W,7.1
1.2,07/04/2022 09:44,35.675N,117.538W,7.18
1.1,07/04/2022 09:28,38.532N,119.515W,6.1
0.9,07/04/2022 09:28,38.838N,122.826W,1.81
0.8,07/04/2022 09:07,37.532N,118.877W,7.38
0.7,07/04/2022 09:06,38.172N,117.865W,6.8
0.9,07/04/2022 09:00,38.840N,122.811W,2.38
2.1,07/04/2022 08:51,33.995N,118.351W,10.45
0.3,07/04/2022 08:50,38.777N,122.765W,-0.88
2.2,07/04/2022 08:24,37.391N,118.412W,9.63
0.4,07/04/2022 08:22,35.960N,117.711W,2.79
0.6,07/04/2022 08:12,39.482N,119.851W,10.4
0.7,07/04/2022 07:44,38.759N,122.738W,1.27
0,07/04/2022 07:41,38.232N,118.343W,7.4
0.5,07/04/2022 07:37,37.632N,118.936W,3.4
1,07/04/2022 07:25,35.955N,120.511W,10.33
1.3,07/04/2022 07:17,39.341N,123.254W,4.73
0.7,07/04/2022 06:57,37.317N,122.251W,-0.32
1.3,07/04/2022 06:54,37.347N,118.623W,15.48
1.7,07/04/2022 06:17,38.984N,122.407W,6.23
1.1,07/04/2022 06:07,37.411N,118.602W,9.89
0.5,07/04/2022 05:44,36.838N,115.948W,6
0.7,07/04/2022 05:23,38.880N,119.648W,0
0.4,07/04/2022 05:11,38.790N,122.766W,0.84
0.4,07/04/2022 05:11,38.845N,122.817W,1.93
0.9,07/04/2022 05:09,38.552N,119.531W,6.4
0.2,07/04/2022 05:09,40.159N,119.629W,6.7
1.3,07/04/2022 04:47,38.257N,118.358W,11.3
1.4,07/04/2022 04:40,38.255N,118.358W,10.3
1.1,07/04/2022 04:26,38.876N,119.006W,10.2
1.2,07/04/2022 04:25,37.432N,121.772W,8.02
0,07/04/2022 04:25,38.532N,119.575W,4.6
0.9,07/04/2022 04:11,38.833N,122.816W,1.84
1.4,07/04/2022 04:07,32.235N,116.585W,14.84
1.3,07/04/2022 03:52,38.832N,122.817W,1.76
1.3,07/04/2022 03:48,37.657N,121.812W,14.25
0.4,07/04/2022 03:34,38.828N,122.807W,2.12
0.9,07/04/2022 03:27,38.833N,122.790W,1.53
0.6,07/04/2022 03:20,37.128N,117.382W,0
0,07/04/2022 03:15,38.532N,119.589W,0
1.1,07/04/2022 03:05,33.984N,116.970W,16.39
-0.3,07/04/2022 03:05,39.391N,120.169W,12.1
1.5,07/04/2022 02:48,38.190N,117.734W,7.3
0.4,07/04/2022 02:44,38.822N,122.764W,1.57
1.3,07/04/2022 02:28,34.066N,117.279W,10.96
0.9,07/04/2022 02:26,38.832N,122.805W,2.04
0.4,07/04/2022 02:15,38.835N,122.803W,1.59
1.1,07/04/2022 02:06,38.836N,122.808W,2.11
1.3,07/04/2022 02:03,38.816N,122.762W,2.08
2.4,07/04/2022 02:02,38.815N,122.762W,1.63
1,07/04/2022 01:56,37.133N,121.522W,8.7
-0.1,07/04/2022 01:54,38.234N,118.687W,12.2
0.4,07/04/2022 01:49,38.834N,122.816W,1.61
0.9,07/04/2022 01:22,38.837N,122.800W,1.94
0.7,07/04/2022 01:18,36.006N,117.803W,0.98
0.1,07/04/2022 01:12,40.085N,119.635W,13
-0.1,07/04/2022 00:31,36.809N,115.956W,6
0,07/04/2022 00:24,36.739N,116.290W,9.2
0.8,07/04/2022 00:23,38.806N,122.781W,2.49
1.3,07/04/2022 00:08,33.678N,116.761W,18.59
0.7,07/04/2022 00:08,35.680N,117.517W,4.88
2.2,06/04/2022 23:59,38.507N,119.551W,-0.14
0.8,06/04/2022 23:46,37.385N,122.222W,9.51
1.2,06/04/2022 23:44,38.507N,119.531W,5.1
0.4,06/04/2022 23:41,38.789N,122.768W,2.87
0.6,06/04/2022 23:11,38.207N,117.918W,3.3
1.4,06/04/2022 23:02,37.121N,121.141W,5.09
0.2,06/04/2022 23:01,36.737N,116.292W,9.3
1.5,06/04/2022 22:55,37.145N,114.720W,8.5
0.5,06/04/2022 22:55,38.820N,122.773W,0
0.1,06/04/2022 22:51,37.547N,118.814W,4.94
0.7,06/04/2022 22:36,38.817N,122.762W,2.08
0.5,06/04/2022 22:14,37.470N,118.848W,5.94
0.9,06/04/2022 22:11,38.931N,118.770W,12.6
0.9,06/04/2022 22:04,33.322N,116.904W,19.71
0.9,06/04/2022 21:45,38.813N,122.788W,1.33
0.8,06/04/2022 21:38,38.821N,122.785W,1.51
2.5,06/04/2022 21:35,36.429N,117.926W,0.96
0.7,06/04/2022 21:17,38.157N,117.961W,9.2
0.7,06/04/2022 21:14,34.085N,117.475W,3.33
