30,10.1
20,16.1
70,17
260,8.9
240,28
320,16.1
60,12.1
90,12.1
50,13
90,8.9
230,23.9
40,21
30,17
50,15
70,16.1
350,30
350,38.9
50,25.9
50,21
250,10.1
250,8.9
230,36.9
230,29.1
340,30
10,8.9
340,23
40,17.9
200,16.1
340,38.9
20,23
240,23.9
230,23.9
240,23.9
360,21.9
10,16.1
240,8.9
250,10.1
190,25.1
260,36
340,23.9
90,14.1
260,10.1
70,13
200,17.9
320,19.9
40,14.1
290,12.1
200,13
200,12.1
110,17
150,15
190,21
180,17
260,15
190,17
230,19.9
220,17.9
200,15
90,17
10,13
220,30
240,44.1
340,25.9
240,36
270,25.9
290,25.1
320,19.9
20,10.1
260,12.1
260,21
260,25.1
230,21
250,31.1
230,30
190,23
180,28
230,28
240,17
230,14.1
190,17
80,16.1
170,15
230,21
240,21
10,31.1
200,25.1
230,25.1
30,31.1
60,17
190,14.1
280,16.1
240,17
180,19.9
180,17.9
190,19.9
190,25.9
240,31.1
210,19.9
90,13
20,19.9
40,16.1
90,17.9
150,21
250,16.1
90,15
240,12.1
240,16.1
280,31.1
250,25.1
190,23
280,32
60,15
50,13
240,19.9
200,25.1
200,30
340,25.9
10,19.9
80,14.1
360,14.1
80,14.1
250,17.9
190,16.1
230,15
190,17.9
270,17
240,16.1
200,21.9
190,19.9
60,16.1
110,17
240,15
80,23
190,19.9
230,17
60,17
180,16.1
200,16.1
230,19.9
210,17.9
260,32
160,17.9
190,19.9
150,17
230,14.1
90,14.1
80,15
100,31.1
190,17
170,36.9
180,28
200,21.9
200,23
80,19.9
190,25.1
180,21
190,17
170,16.1
200,17.9
200,17
180,17
150,16.1
190,17.9
250,17.9
250,21.9
220,14.1
200,8.9
260,19.9
230,16.1
90,16.1
180,21.9
180,25.1
230,25.9
240,23.9
190,17.9
180,17
250,10.1
240,10.1
200,10.1
90,14.1
240,14.1
90,13
180,16.1
200,15
90,16.1
150,17
180,19.9
170,21.9
230,23
230,19.9
180,17.9
220,21
230,16.1
170,17
230,17
170,16.1
150,17.9
200,16.1
240,17.9
230,17
330,21
230,25.1
230,17.9
250,23
200,23
240,21.9
180,17
190,19.9
30,12.1
40,15
330,28
70,13
280,10.1
70,12.1
180,16.1
240,25.9
190,17
350,25.9
60,21.9
260,10.1
250,12.1
250,12.1
250,12.1
270,17
50,19.9
210,17.9
230,25.1
260,21
180,16.1
150,21
330,36
340,17
150,10.1
40,15
260,10.1
60,17
250,10.1
240,8.1
170,15
230,19.9
180,21
30,13
260,8.9
200,8.9
20,8.9
20,13
90,17
250,8.9
100,8.9
230,12.1
210,15
230,17.9
360,13
80,15
80,15
210,19.9
110,8.9
230,15
40,12.1
90,12.1
60,12.1
20,13
40,10.1
70,19.9
240,8.1
260,8.1
250,8.1
200,21.9
220,25.9
250,30
230,14.1
330,23.9
40,8.9
270,8.9
350,17
10,17.9
290,8.9
260,8.9
350,10.1
10,8.9
250,8.1
40,8.9
290,8.9
320,10.1
210,8.1
30,36
360,23.9
40,12.1
40,15
